tag	category	datasets	note
Streptomyces	species	PhD_proposal	
Stylophora pistillata	species	microalgae	
Swietenia macrophylla	species	fallworm	
Symbiodinium	species	microalgae	
Synechococcus	species	microalgae	
Synechococcus elongatus	species	microalgae	
Synechocystis	species	microalgae	
Syzygium aromaticum	species	fallworm	
Tamarixia radiata	species	fallworm	
Telenomus remus	species	fallworm	
Tetrastichus howardi	species	fallworm	
Thalassia hemprichii	species	microalgae	
Thalassia testudinum	species	microalgae	
Thalassiosira oceanica	species	microalgae	
Thalassiosira pseudonana	species	microalgae	
Trentepohlia	species	microalgae	
Trichogramma	species	fallworm	
Triticum aestivum	species	microalgae	
Turbinaria reniformis	species	microalgae	
Vallisneria natans	species	microalgae	
versus		fallworm	
via		microalgae	
Vip3Aa	gene	fallworm	
Vip3Af	gene	fallworm	
Wolbachia	species	fallworm	
WRKY36	gene	fallworm	
Xanthophyllomyces dendrorhous	species	microalgae	
Zanthoxylum zanthoxyloides	species	fallworm	
Zea mays	species	fallworm	
Zostera marina	species	microalgae	
Zymoseptoria tritici	species	PhD_proposal	
